OID_,bld_name_e,bld_name_c,bld_address,bld_ac_type,bld_year,bld_passenger,bld_service,bld_starting_oper,bld_opr_hrs,bld_start_opr_weekend,bld_opr_hrs_weekend,x,y,ELABEL,retail,parking,office,hotel,food,ghi,wind10m,td_cdd,LULCM,ndvi,ndbi,BH,podium,area,highrise,area_1,Dist_mtr,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
1,One Citygate,東薈城一座,"20 Tat Tung Road, Tung Chung, New Territories, Hong Kong",Central Air-Conditioning System,2000,4,1,8,11,8,6,811954,816812,TUNG CHUNG STATION,6930.981445,163.6389771,359.0087585,0,1545.972046,1410.595947,2.4633908,2.148924732,11,0.0658297,0.0183813,76.463356,1,20757,1,1761,98.95658499,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2,Hong Kong Spinners Industrial Building Phase 1 & 2,香港紗廠工業大廈1及2期,"800 Cheung Sha Wan Rad, Cheung Sha Wan, Kowloon, Hong Kong",Individual Air-Conditioning System,1966,,,,,,,818510,810507,TUNG CHUNG STATION,0,0,0,0,0,1473.784058,2.5199206,2.256370968,61,0.4818907,-0.050936,7.3440485,0,,0,,9007.841263,,,,NO,NO,NO,NO,NO,,,,,,,,,,
3,Yat Fat Building,日發大廈,"44-46 Des Voeux Road Central, Central, Hong Kong",Individual Air-Conditioning System,1967,,,,,,,832221,816498,HKU STATION,412.5098877,93.6783676,79.2928009,20.7061062,197.7656097,1434.337036,4.0661621,2.542894266,1,0.0499069,0.0662983,71.4453583,1,5477,1,572,428.2364693,,,,NO,NO,NO,NO,NO,,,,,,,,,,
4,Wing Lung Bank Building,永隆銀行大廈,"45 Des Voeux Road Central, Central, Hong Kong",Central Air-Conditioning System,1972,3,0,8,11,8,5,832221,816498,HKU STATION,412.5098877,93.6783676,79.2928009,20.7061062,197.7656097,1434.337036,4.0661621,2.542894266,1,0.0499069,0.0662983,71.4453583,1,5477,1,572,428.2364693,,,,NO,NO,NO,NO,NO,,,,,,,,,,
5,Hoi Sing Building,海昇大廈,"128 Second Street, Sai Ying Pun, Hong Kong",,,,,,,,,832409,816360,SAI YING PUN STATION,154.8364105,77.1285248,0,0,625.3200684,1434.337036,3.2888982,2.507078853,1,0.0348903,-0.002453,88.218895,1,725,1,149,340.9623997,,,,NO,NO,NO,NO,NO,,,,,,,,,,
6,Koon Wah Building,冠華大廈,"420-424 Queen's Road West, Sai Ying Pun, Hong Kong",,,,,,,,,832169,816376,HKU STATION,886.2542725,250.8768311,113.7350388,0,426.0014648,1437.259033,4.0661621,2.507078853,1,0.0352008,0.0901961,47.2424011,1,1329,1,1002,297.5022407,,,,NO,NO,NO,NO,NO,,,,,,,,,,
7,Tsui King Court,翠景閣,"18 Water Street, Sai Ying Pun, Hong Kong",,,,,,,,,832384,816290,SAI YING PUN STATION,490.2987976,0,0,0,1630.507568,1434.337036,2.6225641,2.507078853,1,0.0871795,0.038791,110.3713303,1,245,1,165,358.4694743,,,,NO,NO,NO,NO,NO,,,,,,,,,,
8,9 Des Voeux Road West,德輔道西9號,"9 Des Voeux Road West, Sai Ying Pun, Hong Kong",Central Air-Conditioning System,1996,,,9,10,9,4,832277.5293,816488.169,HKU STATION,470.587738,18.7387085,93.5455399,0,1236.077393,1434.337036,4.0661621,2.542894266,41,0.0316742,0.02753,4.1584072,0,,0,,452.2198651,,,,NO,NO,NO,NO,NO,,,,,,,,,,
9,Luen Wai Commercial Building,聯威商業大廈,"93-97 Des Voeux Road West, Sheung Wan, Hong Kong",Individual Air-Conditioning System,,,,,,,,832128.8,816423.3,HKU STATION,980.9956665,75.3121033,84.7542801,0,336.317688,1437.259033,4.0661621,2.507078853,1,-0.0138312,0.0997475,80.3424988,1,2710,1,333,319.1809511,,,,NO,NO,NO,NO,NO,,,,,,,,,,
10,Hong Kong Industrial Building,香港工業大廈,"444-452 Des Voeux Road West, Western District, Hong Kong",,,,,,,,,831793,816460,HKU STATION,990.8291626,114.0000839,173.70961,0,141.7666016,1442.371948,4.653935,2.507078853,21,0.0769005,0.1815016,79.6987381,1,11440,1,1405,388.117575,,,,NO,NO,NO,NO,NO,,,,,,,,,,
