full_addr_,full_addr1,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
"Discovery Bay Plaza, 8 Plaza Lane, Discovery Bay, Lantau, New Territories","愉景廣場, 新界大嶼山愉景灣廣場徑8號",983.99,273.33,2.436687301,NO,NO,NO,NO,NO,NONE,NONE,NONE,7,0,224,yes,,,yes
"1 Des Voeux Road West, Sheung Wan, Hong Kong",香港上環德輔道西1號,79.2,22,1.342422681,NO,NO,NO,NO,NO,NONE,NONE,NONE,27,0,26,yes,,,
"1 Duddell Street, Central, Hong Kong",香港中環都爹利街1號,582.73,161.87,2.209166367,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,24,yes,,,
"1 Lyndhurst Tower, 1-7 Lyndhurst Terrace, Central, Hong Kong","一號廣場, 香港中環擺花街1-7號",628.68,174.63,2.242118854,NO,YES,NO,NO,NO,2015,7/3/2019,retro_after,22,1,94,yes,yes,,
"135 Bonham Strand Trade Centre, 135 Bonham Strand, Sheung Wan, Hong Kong","文咸東街135商業中心, 香港上環文咸東街135號",77.06,21.41,1.330616667,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,122,yes,,,
"15 Tsz Mi Alley, Sai Ying Pun, Hong Kong",香港西營盤紫薇街15號,217.01,60.28,1.780173244,NO,NO,NO,NO,NO,NONE,NONE,NONE,6,0,6,,,,
"154 Wellington Street, Central, Hong Kong",香港中環威靈頓街154號,94.33,26.2,1.418301291,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,,,,
"156-158 Wellington Street, Central, Hong Kong",香港中環威靈頓街156-158號,4.89,1.36,0.133538908,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,10,,,,
"18 On Lan Street, Central, Hong Kong",香港中環安蘭街18號,215.58,59.88,1.777281792,NO,NO,NO,NO,NO,NONE,NONE,NONE,29,0,0,yes,,,
"2 On Lan Street, On Lan Street, Central, Hong Kong","安蘭街2號, 香港中環安蘭街",412.9,114.69,2.059525553,NO,NO,YES,YES,NO,2012,5/2/2015,retro_before,6,1,6,,,,
"2 Queen Victoria Street, Central, Hong Kong",香港中環域多利皇后街2號,109.62,30.45,1.483587297,NO,NO,NO,NO,NO,NONE,NONE,NONE,8,0,8,,,,
"202 Centre, 202-204 Des Voeux Road West, Sheung Wan, Hong Kong","202 中心, 香港上環德輔道西202-204號",126.75,35.21,1.546666025,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,26,yes,,,
"215 Queen's Road Central, Central, Hong Kong",香港中環皇后大道中215號,24.48,6.8,0.832508913,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,,,,
"235 Wing Lok Street Trade Centre, 235 WING LOK STREET","永樂街235商業中心, 永樂街235號",105.01,29.17,1.464936429,NO,NO,NO,NO,NO,NONE,NONE,NONE,28,0,75,yes,,,
"26-28 Gilman'S Bazaar, Central, Hong Kong",香港中環機利文新街26-28號,50.1,13.92,1.143639235,NO,NO,NO,NO,NO,NONE,NONE,NONE,7,0,10,,yes,,
"299QRC (The Centre Mark), 287-299 Queen's Rd C, Central, Hong Kong","永傑中心, 香港中環皇后大道中287-299號",311.66,86.57,1.937367418,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,91,yes,,,
"2A Kau U Fong, Central, Hong Kong",香港中環九如坊2A號,40.2,11.17,1.048053173,NO,NO,NO,NO,NO,NONE,NONE,NONE,6,0,11,,,,
31-33 Hollywood Road IL 109 SB RP Hong Kong,"中西區荷李活道31/33號, 香港荷李活道31-33號",56.11,15.59,1.192846115,NO,NO,NO,NO,NO,NONE,NONE,NONE,8,1,7,yes,,,
"31C-D Wyndham Street, 31C-31D Wyndham Street Hong Kong","31C-D 雲咸街, 香港雲咸街31C-31D號",71.316,19.81,1.296884476,NO,NO,NO,NO,NO,NONE,NONE,NONE,7,0,7,,,,
"59 Wing Lok Street, Sheung Wan, Hong Kong",香港上環永樂街59號,182.52,50.7,1.705007959,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,,,,
"6 Hiller Street, 6 Hillier St, Sheung Wan, Hong Kong",香港上環禧利街6號,221.11,61.42,1.788309812,NO,NO,NO,NO,NO,NONE,NONE,NONE,6,0,6,,,,
"69 Bonham Strand, Central, Hong Kong",香港中環文咸東街69號,590.59,164.05,2.214976235,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,,,,
"69 Jervois Street, Sheung Wan, Hong Kong",香港上環蘇杭街69號,250.1,69.47,1.841797299,NO,NO,NO,NO,NO,NONE,NONE,NONE,33,0,198,yes,,,
"70-72 JERVOIS ST., 70-72 Jervois St, Central, Hong Kong",香港中環蘇杭街70-72號,64.46,17.91,1.253095586,NO,NO,NO,NO,NO,NONE,NONE,NONE,6,0,6,,yes,,
"76 Wellington Street, Central, Hong Kong",香港中環威靈頓街76號,14.6,4.06,0.608526034,NO,NO,NO,NO,NO,NONE,NONE,NONE,6,0,6,yes,,,
"8 Lyndhurst Terrace (Capital Plaza), 2-10 Lyndhurst Terrace, Central, Hong Kong","擺花街8號 (匯財中心), 香港中環擺花街2-10號",157.37,43.71,1.640580806,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,30,,,,
"8-12 Gilman Bazaar, 8-12 Gilman's Bazaar, Central, Hong Kong",香港中環機利文新街8-12號,136,37.78,1.577261954,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,yes,,,
"87 Bonham Strand, Sheung Wan, Hong Kong",香港上環文咸東街87號,207.21,57.56,1.760120785,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,,,,
"88 Commercial Building, 34 WING LOK STREET","東成商業大廈, 永樂街34號",143.68,39.91,1.601081728,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,70,yes,yes,,
"9-11 Cochrane Street, Central, Hong Kong",香港中環閣麟街9-11號,220.24,61.18,1.786609473,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,yes,,,
"Abba House (Shopping Arcade), 223-227 Aberdeen Main Road, Aberdeen, Hong Kong","利群商場/商廈, 香港香港仔香港仔大道223-227號",485.91,134.98,2.130269424,NO,YES,NO,NO,NO,2015,9/13/2017,retro_after,28,0,168,yes,yes,,
"Abdoolally House, 20 Stanley Street Hong Kong","鴨都喇利大廈, 香港士丹利街20號",79.77,22.16,1.345569756,NO,NO,NO,NO,NO,NONE,NONE,NONE,11,0,11,,,,
"Agricultural Bank of China Tower, 50 Connaught Road, Central, Hong Kong","中國農業銀行大廈, 香港中環干諾道50號",516,143.33,2.156337101,NO,NO,NO,NO,NO,2015,5/10/2019,retro_after,28,0,0,yes,,,
"AIE Building, 33 Connaught Rd C, Central, Hong Kong","中亞洲大廈, 香港中環干諾道中33號",230,63.89,1.805432888,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,1,18,yes,yes,,
"Al-Aqmar House, 30 Hollywood Rd, Central, Hong Kong","愛瑪大廈, 香港中環荷李活道30號",144.21,40.06,1.602710945,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,15,yes,,,
"Albert House, 20-28 Chengtu Rd, Aberdeen, Hong Kong","添喜大廈, 香港香港仔成都道20-28號",127.4,35.39,1.548880563,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,103,yes,yes,,
"Albron Court, 99 Caine Rd, Central, Hong Kong","豐樂閣, 香港中環堅道99號",20.7,5.75,0.759667845,NO,NO,NO,NO,NO,NONE,NONE,NONE,31,0,103,yes,yes,,
"Alexandra House, 18 Chater Road, Central, Hong Kong","歷山大廈, 香港中環遮打道18號",744.32,206.76,2.315466523,NO,YES,YES,YES,YES,2018,6/7/2021,retro_after,35,0,310,yes,,,
"Alliance Building, 130-136 Connaught Rd C, Sheung Wan, Hong Kong","誠信大廈, 香港上環干諾道中130-136號",95.76,26.6,1.424881637,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,118,,yes,,
"Amber Lodge (Commercial Portion), 23 Hollywood road, Central, Hong Kong","金珀苑(商業部分), 香港中環荷李活道23號",181.11,50.31,1.701654317,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,44,yes,,,
"Amtel Building, 144-148 Des Voeux Rd C, Central, Hong Kong","安泰大廈, 香港中環德輔道中144-148號",424.99,118.05,2.072065991,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,0,60,yes,,,
"ANDES PLAZA, 311-325 QUEEN'S ROAD WEST","安達中心, 皇后大道西311-325號",209.5,58.19,1.764848357,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,1,86,yes,yes,,
"Arion Commercial Centre, 2-12 Queen's Rd W, Sai Ying Pun, Hong Kong","聯發商業中心, 香港西營盤皇后大道西2-12號",192.65,53.51,1.728434951,NO,NO,YES,YES,NO,2015,11/24/2018,retro_before,26,0,157,yes,yes,,
"Asia Standard Tower, 8-10 Li Yuen St W, Central, Hong Kong","泛海大廈, 香港中環利源西街8-10號",595.09,165.3,2.218272854,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,53,yes,,,
"Bangkok Bank Building, 18 BONHAM STRAND WEST","盤谷銀行大廈, 文咸西街18號",284.9,79.14,1.898396046,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,24,yes,,,
"Bangkok Bank Building, 28 Des Voeux Rd C, Central, Hong Kong","盤谷銀行大廈, 香港中環德輔道中28號",432.63,120.18,2.0798322,NO,NO,NO,NO,NO,NONE,NONE,NONE,19,0,19,yes,,,
"Bank Of China Building, 2A Des Voeux Road Central, Central, Hong Kong","中國銀行大廈, 香港中環德輔道中2A號",1569.77,436.05,2.639536291,NO,YES,NO,NO,YES,2015,3/8/2019,retro_before,15,0,15,yes,,,
"Baskerville House, 13 Duddell St, Central, Hong Kong","樂成行, 香港中環都爹利街13號",434.26,120.63,2.081455328,NO,YES,NO,NO,YES,2012,2/26/2016,retro_after,17,0,16,yes,,,
"Beautiful Group Tower, 74-77 Connaught Rd C, Central, Hong Kong","標華豐集團大廈, 香港中環干諾道中74-77號",391.93,108.87,2.036908223,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,48,yes,,,
"Blissful Building, 243-247 Des Voeux Rd C, Sheung Wan, Hong Kong","德祐大廈, 香港上環德輔道中243-247號",130.98,36.38,1.560862695,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,75,yes,,,
